iter	Passed	Remaining
727	4401	1644
728	4407	1638
729	4412	1632
730	4418	1626
731	4424	1619
732	4429	1613
733	4435	1607
734	4440	1601
735	4446	1594
736	4451	1588
737	4457	1582
738	4462	1576
739	4468	1570
740	4474	1563
741	4480	1557
742	4486	1551
743	4492	1545
744	4497	1539
745	4503	1533
746	4509	1527
747	4515	1521
748	4520	1514
749	4526	1508
750	4531	1502
751	4537	1496
752	4543	1490
753	4548	1484
754	4554	1477
755	4560	1471
756	4566	1465
757	4572	1459
758	4577	1453
759	4583	1447
760	4589	1441
761	4595	1435
762	4601	1429
763	4607	1423
764	4613	1417
765	4619	1411
766	4624	1404
767	4630	1398
768	4636	1392
769	4642	1386
770	4648	1380
771	4653	1374
772	4659	1368
773	4664	1362
774	4670	1355
775	4676	1349
776	4681	1343
777	4686	1337
778	4692	1331
779	4697	1325
780	4703	1318
781	4708	1312
782	4714	1306
783	4719	1300
784	4725	1294
785	4730	1288
786	4736	1281
787	4742	1275
788	4747	1269
789	4753	1263
790	4758	1257
791	4764	1251
792	4770	1245
793	4778	1239
794	4788	1234
795	4795	1229
796	4802	1223
797	4809	1217
798	4814	1211
799	4820	1205
800	4825	1198
801	4831	1192
802	4837	1186
803	4843	1180
804	4848	1174
805	4854	1168
806	4859	1162
807	4865	1156
808	4871	1150
809	4876	1143
810	4882	1137
811	4887	1131
812	4893	1125
813	4899	1119
814	4904	1113
815	4910	1107
816	4915	1101
817	4921	1094
818	4927	1088
819	4933	1082
820	4939	1076
821	4944	1070
822	4950	1064
823	4955	1058
824	4961	1052
825	4966	1046
826	4972	1040
827	4977	1034
828	4983	1027
829	4989	1021
830	4995	1015
831	5000	1009
832	5006	1003
833	5011	997
834	5017	991
835	5023	985
836	5028	979
837	5034	973
838	5039	967
839	5045	960
840	5051	954
841	5056	948
842	5062	942
843	5067	936
844	5073	930
845	5079	924
846	5085	918
847	5091	912
848	5097	906
849	5103	900
850	5108	894
851	5114	888
852	5119	882
853	5125	876
854	5130	870
855	5136	864
856	5142	858
857	5147	851
858	5153	845
859	5158	839
860	5164	833
861	5169	827
862	5175	821
863	5180	815
864	5186	809
865	5192	803
866	5198	797
867	5203	791
868	5209	785
869	5215	779
870	5220	773
871	5226	767
872	5232	761
873	5237	755
874	5243	749
875	5249	743
876	5254	737
877	5260	731
878	5266	724
879	5271	718
880	5277	712
881	5283	706
882	5288	700
883	5294	694
884	5300	688
885	5305	682
886	5310	676
887	5316	670
888	5321	664
889	5327	658
890	5332	652
891	5338	646
892	5343	640
893	5349	634
894	5354	628
895	5360	622
896	5365	616
897	5371	610
898	5377	604
899	5382	598
900	5388	592
901	5394	586
902	5400	580
903	5406	574
904	5412	568
905	5417	562
906	5423	556
907	5429	550
908	5434	544
909	5439	538
910	5445	531
911	5450	525
912	5456	519
913	5461	513
914	5467	507
915	5473	501
916	5478	495
917	5484	489
918	5490	483
919	5495	477
920	5501	471
921	5507	465
922	5513	459
923	5518	453
924	5524	447
925	5529	441
926	5535	435
927	5541	429
928	5547	423
929	5553	418
930	5559	412
931	5565	406
932	5570	400
933	5576	394
934	5581	388
935	5587	382
936	5592	376
937	5598	370
938	5603	364
939	5609	358
940	5615	352
941	5620	346
942	5626	340
943	5632	334
944	5638	328
945	5643	322
946	5649	316
947	5654	310
948	5660	304
949	5666	298
950	5671	292
951	5677	286
952	5683	280
953	5689	274
954	5694	268
955	5701	262
956	5707	256
957	5712	250
958	5718	244
959	5723	238
960	5729	232
961	5734	226
962	5740	220
963	5746	214
964	5751	208
965	5757	202
966	5763	196
967	5768	190
968	5774	184
969	5779	178
970	5785	172
971	5790	166
972	5796	160
973	5802	154
